name,rating,price,reviews,Manufacturer,ASIN
GODS Ghost 25 Litre Anti-Theft 15.6 Inch Laptop Backpack (Black),4.5 out of 5 stars,"3,649","8,211","‎RoadGodsAutogearPvt.Ltd,RoadGodsAutogearPvt.Ltd,A-block,Sector-2,Noida,UttarPradesh-201301,Phone-011-422-49888&Email-Support@roadgods.com",‎B077XJ4D6W
Cosmus Tuxer 38L Large Laptop Backpack With 3 Compartments,4.2 out of 5 stars,"1,800",141,"‎COSMUSBAGSPVT.LTD.,359,GroundFloorAbubakarChawlDharaviMainRoad,BagichaCompound,DharaviMumbai,400017Mobile",‎B09HCJKKF4
American Tourister Casual Backpack,4.1 out of 5 stars,"1,499","43,319",‎Samsonite,‎B07CJCGM1M
Half Moon 35 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (18 Inch) (Navy),3.9 out of 5 stars,799,"11,472",‎AmazingBags,‎B085MHDJ93
"TRUE HUMAN Emperor Anti-Theft backpack With USB charging Port and anti -theft back pocket Laptop bag , office bag , college bag ( LEGEND )",3.8 out of 5 stars,699,542,‎B09QJ7ZF2Y
Martucci 15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack(Black),4.1 out of 5 stars,568,"4,396",‎Martucci,‎B088B4P6ZW
Northzone Laptop Bag/College Bag/School Bag/Office Bag/Waterproof Bag/Travel Bag/Casual Backpack/Trending Backpack,4.1 out of 5 stars,664,"4,670","‎Northzone,Plotno35to40KH.No.28/2GroundFloorAgarNagarPremNagarPhase3Delhi110086",‎B08678P2T7
Wooum 15.6 inch Laptop Bag Backpack Fashion Rucksack Casual Student School Bag Computer Bag College Bag Office Bag Business Bag Unisex Travel Backpack,4.0 out of 5 stars,468,"1,505",‎wooum,‎B08R7J19R8
Wesley Milestone 15.6 inch 25 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,4.3 out of 5 stars,498,"10,706"
Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack,4.5 out of 5 stars,"2,399","3,934","‎SafariIndustries(India)Ltd,SafariIndustriesLtd301/302,A-Wing,TheQube,M.V.Road,Marol,Andheri(East),NearinternationalAirportMumbai-400059+91-22-40381851/838",‎B07BZ5VC4H
"Safari Seek 32 Ltrs Overnighter Travel Laptop Backpack (Black), Water Resistant Spacious Bag pack for Travelling and Camping, All-Purpose Bag for Business & Leisure",4.3 out of 5 stars,"3,022",5,"‎Safari,SafariIndustriesLtd301/302,A-Wing,TheQube,M.V.Road,Marol,Andheri(East),NearinternationalAirportMumbai-400059+91-22-40381851/838",‎B097JMR4M6
"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",4.1 out of 5 stars,349,"3,365"
TRUE HUMAN Anti-Theft and USB Charging Port Backpack with Combination Lock Laptop Bag (Grey),3.8 out of 5 stars,695,924,‎1,‎B09H7PK5ML
